p_val	avg_logFC	pct.1	pct.2	p_val_adj
Zyx	2.50897863131865e-18	0.494181747265708	0.673	0.439	3.36479124246144e-14
Siva1	2.68534292042889e-18	0.447988569406352	0.354	0.148	3.60131339058718e-14
Capns1	2.71856542462144e-18	0.427412522772475	0.856	0.696	3.64586809095982e-14
Atp9a	3.03849390579813e-18	0.424427851452218	0.389	0.171	4.07492417706588e-14
Abhd17a	3.53452096249276e-18	0.506349379457323	0.506	0.258	4.74014606279904e-14
Emilin2	3.67126198178102e-18	-1.09975859079115	0.039	0.288	4.92352944376652e-14
Mmp2	3.73177693623643e-18	-1.74886120184909	0.086	0.335	5.00468604918667e-14
Hn1	3.98269986345304e-18	0.378825958502255	0.63	0.362	5.34119878687688e-14
Sepp1	3.98647023870328e-18	-1.44624995506007	0.089	0.349	5.34625523712497e-14
Tmem43	5.69375019946213e-18	0.583709409345802	0.591	0.354	7.63588839249866e-14
Pls3	5.74101875994438e-18	0.485759488735839	0.479	0.246	7.6992802589614e-14
Tspan9	7.14737314023173e-18	0.343238844848694	0.358	0.151	9.58534211836478e-14
Cpxm1	7.39079753962807e-18	-1.87131114696865	0.031	0.27	9.9117985803952e-14
Serpinf1	7.69985424804929e-18	-1.43914082893852	0.082	0.328	1.03262745320589e-13
Tead1	8.13097351809288e-18	0.483941939903196	0.416	0.195	1.09044485851144e-13
Ccdc124	9.59688361959759e-18	0.522362646186843	0.424	0.196	1.28703806222423e-13
Commd3	1.01128418982262e-17	0.381227696143591	0.432	0.203	1.35623322697112e-13
Nudcd2	1.22130454306797e-17	0.269142282449848	0.374	0.159	1.63789152270846e-13
Sfxn3	1.29483554673004e-17	0.298908541179803	0.463	0.228	1.73650395171966e-13
Arpp19	1.32212778187814e-17	0.386678086701665	0.58	0.324	1.77310556827677e-13
Tinagl1	1.36134717318132e-17	0.383455705190349	0.451	0.206	1.82570269395346e-13
Ccl7	1.55433672323367e-17	-2.18321584921644	0.031	0.268	2.08452097952867e-13
Atp5d	1.62806937739747e-17	0.513150307630698	0.829	0.629	2.18340384202775e-13
Gna11	1.70069917235869e-17	0.479018912465219	0.451	0.221	2.28080766005024e-13
C1qtnf6	1.94629290521709e-17	-1.10803963383357	0.043	0.282	2.61017341518664e-13
Eif2d	2.47967157367053e-17	0.358329125244536	0.261	0.094	3.32548754744955e-13
Dynll1	2.60397701989197e-17	0.471080548790403	0.778	0.544	3.49219358137712e-13
Kif1c	2.67130434325226e-17	0.329141944586208	0.451	0.214	3.58248625473561e-13
